"issue number","state","title","body","date created","assignees","labels"
84,"OPEN","F8.5: Build learning library UI","### Purpose
Allow agents to browse and learn from best calls.

### Scope

- UI list/grid of learning examples
- Display summary, topics, and highlights
- Static or mock data allowed initially

### Acceptance Criteria

- [ ] Learning library UI renders correctly
- [ ] Screenshot attached","2026-01-31T00:09:12Z","iniayolawal",""
83,"OPEN","F8.4: Create learning library API endpoint","### Purpose
Expose curated call examples to agents.

### Scope

- REST endpoint (e.g. `GET /api/learning-library`)
- Return list of anonymized call examples
- Handle empty library gracefully

### Acceptance Criteria

- [ ] Endpoint returns learning entries
- [ ] Verified via Postman / curl","2026-01-31T00:07:08Z","lawal-mj",""
82,"OPEN","F8.3: Persist learning library entries","### Purpose
Store references to high-performing calls for later access.

### Scope

- Store anonymized call metadata
- Link learning entries to underlying calls
- Prevent duplicates

### Acceptance Criteria

- [ ] Learning entries retrievable
- [ ] Verified via logs or DB query","2026-01-31T00:06:18Z","Mildness10",""
81,"OPEN","F8: Best-Call Learning Library","### Description

Provide agents with access to a curated library of anonymized high-performing call examples, enabling them to learn best practices and improve their performance through real interaction examples.

### Scope

- Identification of high-performing calls based on defined criteria
- Backend APIs to expose curated call examples
- Agent-facing UI for browsing learning examples

### Mapped Requirements

- R14 – Access to anonymized high-performing call examples","2026-01-30T23:53:08Z","iniayolawal",""
80,"OPEN","F9.6: Add loading, empty, and error states","### Purpose
Ensure stable UX and demo reliability.

### Scope

- Loading indicators
- “No data yet” messaging
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states gracefully","2026-01-30T23:46:14Z","iniayolawal",""
79,"OPEN","F9.5: Connect agent dashboard UI to backend API","### Purpose
Make the agent dashboard live.

### Scope

- Fetch agent performance data
- Render charts dynamically
- Handle empty or partial data

### Acceptance Criteria

- [ ] Dashboard displays real agent data
- [ ] Screenshot showing populated dashboard","2026-01-30T23:45:15Z","fiyinfoluwaafol",""
78,"OPEN","F9.4: Build agent performance dashboard UI layout","### Purpose
Provide a clear visual dashboard for agents.

### Scope

- UI sections for:
  - Sentiment trend chart
  - Topic / issue distribution
- Static or mock data allowed initially

### Acceptance Criteria

- [ ] Dashboard layout renders correctly
- [ ] Screenshot attached","2026-01-30T23:43:59Z","iniayolawal",""
77,"OPEN","F9.3: Create agent performance API endpoint","### Purpose
Expose agent-specific performance analytics.

### Scope

- REST endpoint (e.g. GET /api/agents/{id}/performance)
- Accept time-range parameters
- Handle agents with no data gracefully

### Acceptance Criteria

- [ ] Endpoint returns agent performance data
- [ ] Verified via Postman / curl","2026-01-30T23:42:43Z","Mildness10",""
76,"OPEN","F9: Personal Agent Performance Dashboard","### Description

Provide agents with a personal performance dashboard that visualizes their sentiment trends and common interaction topics, allowing them to track progress and identify areas for improvement over time.

### Scope

- Agent-level performance metrics and trends
- Backend APIs for agent-specific analytics
- Agent-facing dashboard UI for performance insights

### Mapped Requirements

- R15 – Personal agent performance dashboard","2026-01-30T23:30:36Z","fiyinfoluwaafol",""
75,"OPEN","F7.7: Add loading, empty, and error states","### Purpose
Ensure stable UX and demo reliability.

### Scope

- Loading indicator
- Empty feedback messaging
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states gracefully","2026-01-30T23:18:13Z","iniayolawal",""
74,"OPEN","F7.6: Connect feedback UI to backend API","### Purpose
Make feedback live for agents.

### Scope

- Fetch feedback from backend
- Render feedback dynamically
- Handle empty state

### Acceptance Criteria

- [ ] UI displays real feedback
- [ ] Screenshot showing populated feedback","2026-01-30T23:16:36Z","fiyinfoluwaafol",""
73,"OPEN","F7.5: Build agent-facing feedback UI","### Purpose
Allow agents to view post-call feedback.

### Scope

- UI layout for feedback cards
- Display strengths and suggestions
- Static or mock data allowed initially

### Acceptance Criteria

- [ ] Feedback UI renders correctly
- [ ] Screenshot attached","2026-01-30T23:14:08Z","iniayolawal",""
72,"OPEN","F7.4: Create coaching feedback API endpoint","### Purpose
Expose feedback to agent-facing clients.

### Scope

- REST endpoint (e.g. `GET /api/agents/{id}/feedback`)
- Return recent post-call feedback
- Handle missing feedback gracefully

### Acceptance Criteria

- [ ] Endpoint returns feedback data
- [ ] Verified via Postman / curl","2026-01-30T23:09:44Z","lawal-mj",""
71,"OPEN","F7.3: Persist post-call feedback","### Purpose
Store feedback so agents can revisit it.

### Scope

- Save feedback linked to call and agent
- Avoid regenerating feedback unnecessarily

### Acceptance Criteria

- [ ] Feedback retrievable by call ID or agent ID
- [ ] Verified via logs or DB query","2026-01-30T23:02:12Z","Mildness10",""
70,"OPEN","F7: Real-Time Post-Call Feedback & Coaching","### Description

Provide agents with actionable post-call feedback and coaching tips derived from call analytics, helping them improve performance based on sentiment, topics, and identified issues.

### Scope

- Generation of post-call feedback and coaching insights
- Backend APIs to expose coaching feedback
- Agent-facing UI for viewing feedback

### Mapped Requirements

- R12 – Personalized coaching tips for agents
- R13 – Real-time post-call feedback","2026-01-30T22:10:31Z","Mikito-Coder",""
69,"OPEN","F6.7: Add loading and empty-state handling","### Purpose
Ensure stable UX and demo behavior.

### Scope

- Loading indicator
- “No brief available” message
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states gracefully","2026-01-30T22:06:26Z","iniayolawal",""
68,"OPEN","F6.6: Connect performance brief UI to API","### Purpose
Make performance briefs live.

### Scope

- Fetch brief data from backend
- Render latest daily or weekly brief
- Handle empty state

### Acceptance Criteria

- [ ] UI displays real brief data
- [ ] Screenshot showing populated brief","2026-01-30T22:05:23Z","fiyinfoluwaafol",""
67,"OPEN","F6.5: Build performance brief UI module","### Purpose
Display performance briefs in the dashboard.

### Scope

- UI section for brief content
- Static or mock data initially
- Simple formatting for readability

### Acceptance Criteria

- [ ] Brief module renders correctly
- [ ] Screenshot attached","2026-01-30T22:04:11Z","iniayolawal",""
66,"OPEN","F6.4: Create performance brief API endpoint","### Purpose
Expose briefs to the frontend.

### Scope

- REST endpoint (e.g. `GET /api/briefs?range=daily`)
- Return latest brief
- Handle missing data gracefully

### Acceptance Criteria

- [ ] Endpoint returns brief content
- [ ] Verified via Postman / curl","2026-01-30T22:02:57Z","lawal-mj",""
65,"OPEN","F6.3: Generate performance brief content","### Purpose
Convert aggregated metrics into a readable brief.

### Scope

- Format metrics into concise textual summary
- No advanced AI required (templated text is acceptable)
- Optional simple insights (e.g., “sentiment improved”)

### Acceptance Criteria

- [ ] Brief generated for sample dataset
- [ ] Output matches defined structure","2026-01-30T22:01:02Z","Mikito-Coder",""
64,"OPEN","F6: Daily / Weekly Performance Briefs","### Description

Generate concise daily or weekly performance briefs that summarize key trends and metrics, enabling supervisors to prepare efficiently for standups and team check-ins.

### Scope

- Aggregation of key performance metrics over a time window
- Backend logic to generate daily or weekly summaries
- Supervisor-facing UI for viewing performance briefs

### Mapped Requirements

- R10 – Daily or weekly performance briefs
- R11 – Key metrics for standups","2026-01-30T21:48:27Z","fiyinfoluwaafol",""
63,"OPEN","F5.8: Add loading, empty, and error states","### Purpose
Ensure stable UX and demo reliability.

### Scope

- Loading indicators while analytics load
- Empty state if analytics unavailable
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states without crashing","2026-01-30T21:43:42Z","iniayolawal",""
62,"OPEN","F5.7: Connect call analytics UI to backend API","### Purpose
Make call-level insights functional end-to-end.

### Scope

- Fetch analytics data by call ID
- Render summary and analytics dynamically
- Handle missing analytics gracefully

### Acceptance Criteria

- [ ] UI displays real analytics data
- [ ] Screenshot showing live content","2026-01-30T21:42:56Z","fiyinfoluwaafol",""
61,"OPEN","F5.6: Build call-level analytics UI layout","### Purpose
Provide a clear visual presentation for call insights.

### Scope

- UI section for:
  - Call summary
  - Sentiment indicator
  - Topics / issue tags
- Placeholder or static data allowed initially

### Acceptance Criteria

- [ ] UI renders correctly
- [ ] Screenshot attached","2026-01-30T21:41:20Z","iniayolawal",""
60,"OPEN","F5.5: Create call-level analytics API endpoint","### Purpose
Expose summaries and analytics to the frontend.

### Scope

- REST endpoint (e.g. `GET /api/calls/{id}/analytics`)
- Return summary and analytics fields
- Handle missing or unprocessed calls

### Acceptance Criteria

- [ ] Endpoint returns expected data
- [ ] Verified via Postman / curl","2026-01-30T21:39:53Z","lawal-mj","AI Sprint"
59,"OPEN","F5.4: Persist call summaries and analytics","### Purpose
Store generated insights for later retrieval.

### Scope

Save summaries and analytics to CallAnalytics storage
Link analytics to call records
Avoid regenerating analytics unnecessarily

### Acceptance Criteria

Stored data retrievable by call ID
Verified via logs or DB query","2026-01-30T21:35:18Z","Mildness10","AI Sprint"
58,"OPEN","F5: AI-Generated Call Summaries & Analytics","### Description

Automatically generate concise summaries and analytical insights for individual agent–customer calls to reduce manual review effort and help supervisors quickly understand key outcomes of each interaction.

### Scope

- AI-generated summaries for individual calls
- Call-level analytics (e.g., sentiment score, topics, issue tags)
- Backend APIs to expose summaries and analytics
- Supervisor dashboard UI for viewing call-level insights

### Mapped Requirements

- R8 – AI-generated summaries for each call
- R9 – Visual analytics for individual calls","2026-01-30T21:24:37Z","Mikito-Coder",""
57,"OPEN","F4.8: Add loading, empty, and error states","### Purpose
Ensure stable UX during queries.

### Scope

- Loading indicator during search
- Empty state messaging
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states gracefully","2026-01-30T20:54:36Z","iniayolawal",""
56,"OPEN","F4.7: Connect search UI to backend API","### Purpose
Make filtering and search functional end-to-end.

### Scope

- Send filter/search parameters to AP
- Render returned results dynamically
- Handle no-result state

### Acceptance Criteria

- [ ] Results update based on filters/search
- [ ] Screenshot showing live query results","2026-01-30T20:52:41Z","fiyinfoluwaafol",""
55,"OPEN","F4.6: Display filtered search results","### Purpose
Render conversation results returned by filters/search.

### Scope

- Results list/table UI
- Display key metadata (agent, sentiment, summary snippet)
- Placeholder data initially allowed

### Acceptance Criteria

- [ ] Results render correctly
- [ ] Screenshot attached","2026-01-30T20:51:42Z","iniayolawal",""
54,"OPEN","F4.5: Build filtering and search UI controls","### Purpose
Allow supervisors to specify filters and search queries.

### Scope

- UI controls:
  - Agent selector
  - Sentiment filter
  - Keyword search input
- Static or mocked data initially

### Acceptance Criteria

- [ ] Controls render correctly
- [ ] Screenshot attached","2026-01-30T20:48:25Z","iniayolawal",""
53,"OPEN","F4.4: Create filtering and search API endpoint","### Purpose
Expose filtering and search functionality to the frontend.

### Scope

- REST endpoint (e.g. GET /api/calls/search)
- Accept filter and search parameters
- Return paginated or bounded results (optional)

### Acceptance Criteria

- [ ] Endpoint returns filtered/search results
- [ ] Verified via Postman / curl","2026-01-30T20:46:05Z","Mildness10",""
52,"OPEN","F4.3: Implement backend keyword search logic","### Purpose
Enable text-based search across call transcripts or summaries.

### Scope

- Keyword matching against transcript text or summaries
- Case-insensitive matching
- Simple substring or token-based search (no NLP)

### Acceptance Criteria

- [ ] Relevant calls returned for keyword queries
- [ ] Non-matching calls excluded","2026-01-30T20:45:05Z","lawal-mj",""
51,"OPEN","F4: Advanced Filtering & Search","### Description

Enable supervisors to efficiently locate relevant agent–customer interactions by filtering and searching past conversations based on agent attributes, sentiment, and keywords.

### Scope

- Backend support for filtering and search queries
- Frontend UI controls for filtering and searching conversations
- Display of filtered search results in the supervisor dashboard

### Mapped Requirements

- R6 – Filter past conversations by agent, sentiment, or keywords
- R7 – Search past conversations by agent, sentiment, or keywords","2026-01-30T20:35:25Z","lawal-mj",""
50,"OPEN","F3.7: Add loading and empty-state handling","### Purpose
Prevent broken or confusing trend views.

### Scope

- Loading indicators
- Empty-data messaging (e.g., “No data for this range”)
- Basic error handling

### Acceptance Criteria

- [ ] UI handles all states without crashing","2026-01-30T20:25:35Z","iniayolawal",""
49,"OPEN","F3.6: Connect trend charts to analytics API","### Purpose
Make trend analytics live.

### Scope

- Fetch data from analytics API
- Render dynamic charts
- Update charts when time range changes

### Acceptance Criteria

- [ ] Charts update based on selected range
- [ ] Screenshot showing live data","2026-01-30T20:22:51Z","fiyinfoluwaafol",""
48,"OPEN","F3.5: Build trend charts UI layout","### Purpose
Create visual containers for historical analytics.

### Scope

- Chart placeholders (line / bar)
- Static or mock data initially
- Time-range selector UI (dropdown or date picker)

### Acceptance Criteria

- [ ] Charts render in dashboard
- [ ] Screenshot attached","2026-01-30T20:21:35Z","iniayolawal",""
47,"OPEN","F3.4: Create historical analytics API endpoint","### Purpose
Expose historical analytics to the frontend.

### Scope

- REST endpoint (e.g. `GET /api/analytics/trends`)
- Accept time-range parameters
- Handle empty or invalid ranges gracefully

### Acceptance Criteria

- [ ] Endpoint returns correct data
- [ ] Verified via Postman / curl","2026-01-30T19:51:28Z","lawal-mj",""
45,"OPEN","F3: Historical & Trend Analytics","### Description

Enable supervisors to analyze historical sentiment and performance data over selectable time ranges, allowing them to track trends and evaluate changes in agent and customer interaction quality over time.

### Scope

- Storage of historical sentiment and performance metrics
- Time-range querying of analytics data
- Trend visualizations in the supervisor dashboard

### Mapped Requirements

- R4 – Historical customer satisfaction metrics
- R5 – Historical agent performance metrics","2026-01-30T19:23:11Z","lawal-mj",""
44,"OPEN","F2.8: Add basic alert handling UX","### Purpose
Improve usability and demo stability.

### Scope

- Loading state
- Error state
- Optional “mark as viewed” (non-persistent)

### Acceptance Criteria

- [ ] UI handles loading and failure gracefully","2026-01-30T19:14:09Z","iniayolawal",""
43,"OPEN","F2.7: Connect alerts UI to alerts API","### Purpose
Make alerts live.

### Scope

- Fetch alerts from backend
- Render alert data in UI
- Handle empty state (no alerts)

### Acceptance Criteria

- [ ] Alerts displayed using real API data
- [ ] Screenshot showing populated alerts","2026-01-30T19:12:19Z","fiyinfoluwaafol",""
42,"OPEN","F2.3: Detect recurring issues across calls","### Purpose
Identify issues or topics that occur repeatedly across interactions.

### Scope

- Analyze issue tags or extracted topics
- Count occurrences across calls
- Flag recurring issues when threshold is met

### Acceptance Criteria

- [ ] Recurring issues identified for sample dataset
- [ ] Threshold logic validated","2026-01-30T19:02:01Z","Mikito-Coder",""
41,"OPEN","F2.2: Detect negative sentiment during analytics processing","### Purpose
Identify calls that meet negative sentiment criteria.

### Scope

- Evaluate sentiment score against defined threshold
- Flag calls as negative sentiment
- Support mocked analytics data if needed

### Acceptance Criteria

- [ ] Calls correctly flagged based on threshold
- [ ] Unit test or console output verifying behavior","2026-01-30T19:00:50Z","Mikito-Coder",""
40,"OPEN","F2.1: Define alert types and thresholds","### Purpose
Establish what qualifies as an alert before any logic or UI is built.

### Scope

- Define alert categories:
  - Negative sentiment alert
  - Recurring issue alert
- Define triggering thresholds (e.g., sentiment score < X, issue appears in N calls)
- Document alert payload shape

### Acceptance Criteria

- [ ] Alert types and thresholds documented
- [ ] Example alert JSON included in issue description","2026-01-30T18:58:48Z","Mildness10",""
39,"OPEN","F2: Sentiment & Issue Alerts","### Description
Implement automated alerting for supervisors by detecting negative sentiment and recurring issues across agent–customer interactions. Alerts help supervisors identify and address problems early without manually reviewing calls.

### Scope
- Detection of negative sentiment based on defined thresholds
- Identification of recurring issues across multiple calls
- Backend APIs to expose alert data
- Supervisor-facing alert display in the dashboard

### Mapped Requirements
- R2 – Automatic alerts for recurring issues
- R3 – Automatic alerts for negative sentiment","2026-01-30T18:52:09Z","Mildness10",""
38,"OPEN","F1.6: Add basic error & loading states","### Purpose:
Prevent brittle demo behavior.

### Scope:

- Loading spinner / skeleton
- Error message if API fails

### Acceptance Criteria:

- [ ] UI handles failure without crashing","2026-01-30T18:44:44Z","iniayolawal",""
